Name, AD, AP, Melee, Ranged, Top, Jungle, Mid, Supp, Adc, Owned
Skarner, true, false, true, false, false, true, false, false, false, true
Sona, false, true, false, true, false, false, true, true, false, true
Soraka, false, true, false, true, false, false, false, true, false, true
Swain, false, true, false, true, true, false, true, false, false, true
Syndra, false, true, false, true, false, false, true, false, false, true
Tahm Kench, true, true, true, false, false, false, false, true, false, true
Taliyah, false, true, false, true, true, false, true, true, false, true
Talon, true, false, true, false, false, true, true, false, false, true
Taric, true, false, true, false, false, false, false, true, false, true
Teemo, true, true, false, true, true, false, true, false, false, true
Thresh, true, true, false, true, false, false, false, true, false, true
Tristana, true, false, false, true, false, false, false, false, true, true
Trundle, true, false, true, false, true, true, false, false, false, true
Tryndamere, true, false, true, false, true, true, false, false, false, true
Twisted Fate, false, true, false, true, false, false, true, false, false, true
Twitch, true, false, false, true, false, false, false, false, true, true
Udyr, true, false, true, false, true, true, false, false, false, true
Urgot, true, false, false, true, true, false, false, false, true, true
Varus, true, false, false, true, false, false, false, false, true, true
Vayne, true, false, false, true, true, false, false, false, true, true
Veigar, false, true, false, true, false, false, true, false, false, true
Vel'Koz, false, true, false, true, false, false, true, false, false, true
Vi, true, false, true, false, true, true, false, false, false, true
Viktor, false, true, false, true, false, false, true, false, false, true
Vladimir, false, true, false, true, true, false, true, false, false, true
Volibear, true, false, true, false, true, true, false, false, false, true
Warwick, true, false, true, false, true, true, false, false, false, true
Wukong, true, false, true, false, true, false, true, false, false, true
Xayah, true, false, false, true, false, false, false, false, true, true
Xerath, false, true, false, true, false, false, true, false, false, true
Xin Zhao, true, false, true, false, true, true, false, false, false, true
Yasuo, true, false, true, false, true, true, true, false, false, true
Yorick, true, false, true, false, true, false, false, false, false, true
Zac, false, true, true, false, true, true, true, false, false, true
Zed, true, false, true, false, true, false, true, false, false, true
Ziggs, false, true, false, true, false, false, true, false, false, true
Zilean, false, true, false, true, false, false, true, true, false, true
Zyra, false, true, false, true, false, false, true, true, false, true
